# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:05:37 PM
# T_surf (K), OLR (W/m^2)
260.2828, 243.6631
261.8895, 244.0256
261.8895, 244.3886
261.8895, 244.7515
261.8895, 245.1145
261.8895, 245.4775
263.4961, 245.8399
263.4961, 246.203
263.4961, 246.5659
263.4961, 246.9289
263.4961, 247.2919
263.4961, 247.6549
263.4961, 248.0179
263.4961, 248.3808
265.1028, 248.7433
265.1028, 249.1063
265.1028, 249.4693
265.1028, 249.8323
266.7095, 250.1948
266.7095, 250.5577
266.7095, 250.9207
266.7095, 251.2837
266.7095, 251.6467
266.7095, 252.0097
266.7095, 252.3726
266.7095, 252.7356
266.7095, 253.0986
266.7095, 253.4616
266.7095, 253.8245
266.7095, 254.1875
266.7095, 254.5505
266.7095, 254.9135
266.7095, 255.2765
266.7095, 255.6394
268.3162, 256.0019
268.3162, 256.3649
268.3162, 256.7279
268.3162, 257.0909
269.9229, 257.4534
269.9229, 257.8164
269.9229, 258.1793
269.9229, 258.5423
269.9229, 258.9053
269.9229, 259.2683
269.9229, 259.6312
269.9229, 259.9942
269.9229, 260.3572
269.9229, 260.7202
269.9229, 261.0831
269.9229, 261.4461
271.5295, 261.8086
271.5295, 262.1716
271.5295, 262.5346
271.5295, 262.8976
271.5295, 263.2605
273.1362, 263.623
273.1362, 263.986
273.1362, 264.349
273.1362, 264.712
273.1362, 265.075
273.1362, 265.4379
274.7429, 265.8004
274.7429, 266.1634
274.7429, 266.5264
274.7429, 266.8894
276.3496, 267.2519
276.3496, 267.6149
276.3496, 267.9778
276.3496, 268.3408
276.3496, 268.7038
276.3496, 269.0668
277.9563, 269.4293
277.9563, 269.7922
277.9563, 270.1552
277.9563, 270.5182
279.563, 270.8807
279.563, 271.2437
279.563, 271.6067
279.563, 271.9696
281.1697, 272.3321
281.1697, 272.6951
281.1697, 273.0581
281.1697, 273.4211
281.1697, 273.7841
282.7763, 274.1466
282.7763, 274.5095
282.7763, 274.8725
284.383, 275.2349
284.383, 275.5979
284.383, 275.9609
285.9897, 276.3235
285.9897, 276.6865
285.9897, 277.0493
287.5964, 277.412
287.5964, 277.7749
289.2031, 278.1374
289.2031, 278.5004
290.8098, 278.8629
290.8098, 279.2259
292.4165, 279.5884
294.0231, 279.9508
295.6298, 280.3134
297.2365, 280.6759
298.8432, 281.0384
300.4499, 281.038
302.0566, 281.4005
303.6632, 281.4
305.2699, 281.7625
306.8766, 281.7621
308.4833, 282.1246
310.09, 282.1241
311.6966, 282.1236
313.3033, 282.4862
314.91, 282.4857
316.5167, 282.4852
318.1234, 282.4848
319.7301, 282.8473
321.3368, 282.8468
322.9434, 282.8463
324.5501, 282.8458
326.1568, 282.8454
327.7635, 282.8449
329.3702, 282.8445
