# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:19:10 PM
# T_surf (K), OLR (W/m^2)
1319.0874, 278.5643
1320.6941, 278.5638
1322.3008, 278.5634
1323.9075, 278.5629
1325.5141, 278.5625
1327.1208, 278.562
1328.7275, 278.5615
1330.3342, 278.5611
1331.9409, 278.5606
1333.5476, 278.5601
1335.1542, 278.5596
1336.7609, 278.5592
1338.3676, 278.5587
1339.9743, 278.5583
1341.581, 278.5577
1343.1877, 278.5573
1344.7943, 278.5569
1346.401, 278.5564
1348.0077, 278.5558
1349.6143, 278.5554
1351.2211, 278.555
1352.8277, 278.5545
1354.4344, 278.5541
1356.0411, 278.5535
1357.6478, 278.5531
1359.2545, 278.5527
1360.8612, 278.5522
1362.4679, 278.5516
1364.0746, 278.5513
1365.6812, 278.5508
1367.2879, 278.5503
1368.8946, 278.5499
1370.5013, 278.5493
1372.108, 278.5489
1373.7147, 278.5485
1375.3213, 278.548
1376.928, 278.5474
1378.5347, 278.5471
1380.1414, 278.5466
1381.7481, 278.5461
1383.3548, 278.5457
1384.9614, 278.5452
1386.5681, 278.5447
1388.1748, 278.5443
1389.7814, 278.5438
1391.3881, 278.5433
1392.9949, 278.5429
1394.6015, 278.5424
1396.2082, 278.5419
1397.8149, 278.5415
1399.4216, 278.541
1401.0283, 278.5405
1402.635, 278.5401
1404.2416, 278.5396
1405.8483, 278.5391
1407.455, 278.5387
1409.0617, 278.5382
1410.6684, 278.5377
1412.2751, 278.5373
1413.8817, 278.5368
1415.4884, 278.5363
1417.0951, 278.5359
1418.7018, 278.5354
1420.3085, 278.5349
1421.9152, 278.5345
1423.5219, 278.534
1425.1285, 278.5335
1426.7351, 278.5331
1428.3418, 278.5326
1429.9485, 278.5321
1431.5553, 278.5316
1433.162, 278.8942
1434.7686, 278.8937
1436.3753, 278.8932
1437.982, 278.8928
1439.5887, 278.8923
1441.1954, 278.8918
1442.8021, 278.8914
1444.4087, 278.8909
1446.0154, 278.8904
1447.6221, 278.89
1449.2288, 278.8895
1450.8355, 278.889
1452.4422, 278.8885
1454.0488, 278.8881
1455.6555, 278.8876
1457.2622, 278.8872
1458.8689, 278.8867
1460.4756, 278.8862
1462.0823, 278.8858
1463.6888, 278.8853
1465.2955, 278.8849
1466.9022, 278.8843
1468.509, 278.8839
1470.1157, 278.8835
1471.7224, 278.883
1473.329, 278.8824
1474.9357, 278.882
1476.5424, 278.8816
1478.1491, 278.8811
1479.7558, 278.8807
1481.3625, 278.8801
1482.9691, 278.8797
1484.5758, 278.8793
1486.1825, 278.8788
