# DataThief /Users/tim/Dropbox/work/Projects/20_greenedge/datathief/./Hamano+15_Fig12a/Figure.png Tuesday 21-Apr-2020 4:08:35 PM
# T_surf (K), OLR (W/m^2)
223.329, 119.1729
223.329, 119.5359
223.329, 119.8989
223.329, 120.2618
223.329, 120.6248
224.9357, 120.9872
224.9357, 121.3503
224.9357, 121.7133
224.9357, 122.0762
224.9357, 122.4392
224.9357, 122.8022
224.9357, 123.1652
224.9357, 123.5281
224.9357, 123.8911
224.9357, 124.2541
224.9357, 124.6171
224.9357, 124.9801
224.9357, 125.343
224.9357, 125.706
226.5424, 126.0685
226.5424, 126.4315
226.5424, 126.7945
226.5424, 127.1574
226.5424, 127.5204
226.5424, 127.8834
226.5424, 128.2464
226.5424, 128.6094
226.5424, 128.9723
226.5424, 129.3353
226.5424, 129.6983
228.1491, 130.0608
228.1491, 130.4238
228.1491, 130.7867
228.1491, 131.1497
228.1491, 131.5127
228.1491, 131.8757
228.1491, 132.2386
228.1491, 132.6016
229.7558, 132.9641
229.7558, 133.3271
229.7558, 133.6901
229.7558, 134.0531
229.7558, 134.416
229.7558, 134.779
229.7558, 135.142
231.3625, 135.5045
231.3625, 135.8675
231.3625, 136.2305
231.3625, 136.5934
231.3625, 136.9564
231.3625, 137.3194
231.3625, 137.6824
232.9691, 138.0449
232.9691, 138.4078
232.9691, 138.7708
232.9691, 139.1338
232.9691, 139.4968
232.9691, 139.8598
232.9691, 140.2227
232.9691, 140.5857
234.5758, 140.9482
234.5758, 141.3112
234.5758, 141.6742
234.5758, 142.0371
234.5758, 142.4001
234.5758, 142.7631
234.5758, 143.1261
236.1825, 143.4886
236.1825, 143.8516
236.1825, 144.2145
236.1825, 144.5775
236.1825, 144.9405
236.1825, 145.3035
236.1825, 145.6663
236.1825, 146.0294
237.7892, 146.3919
237.7892, 146.7549
237.7892, 147.1179
237.7892, 147.4809
237.7892, 147.8437
237.7892, 148.2068
237.7892, 148.5697
239.3959, 148.9323
239.3959, 149.2953
239.3959, 149.6583
239.3959, 150.0212
239.3959, 150.3841
239.3959, 150.7471
239.3959, 151.1102
239.3959, 151.4731
241.0026, 151.8356
241.0026, 152.1985
241.0026, 152.5615
241.0026, 152.9245
241.0026, 153.2875
241.0026, 153.6505
241.0026, 154.0135
241.0026, 154.3765
242.6093, 154.7389
242.6093, 155.102
242.6093, 155.4649
242.6093, 155.8279
242.6093, 156.1909
242.6093, 156.5539
242.6093, 156.9167
242.6093, 157.2798
244.2159, 157.6423
244.2159, 158.0053
244.2159, 158.3683
244.2159, 158.7313
244.2159, 159.0942
244.2159, 159.4572
244.2159, 159.8202
244.2159, 160.1832
245.8226, 160.5457
245.8226, 160.9087
245.8226, 161.2716
245.8226, 161.6346
245.8226, 161.9976
245.8226, 162.3606
245.8226, 162.7235
245.8226, 163.0865
247.4293, 163.449
247.4293, 163.812
247.4293, 164.175
247.4293, 164.538
247.4293, 164.9009
247.4293, 165.2639
247.4293, 165.6269
247.4293, 165.9899
249.036, 166.3524
249.036, 166.7153
249.036, 167.0783
249.036, 167.4413
249.036, 167.8043
249.036, 168.1672
249.036, 168.5302
249.036, 168.8932
250.6427, 169.2557
250.6427, 169.6187
250.6427, 169.9817
250.6427, 170.3446
250.6427, 170.7076
250.6427, 171.0706
250.6427, 171.4336
250.6427, 171.7965
252.2494, 172.1591
252.2494, 172.522
252.2494, 172.885
252.2494, 173.248
252.2494, 173.611
252.2494, 173.9739
252.2494, 174.3369
252.2494, 174.6999
253.8559, 175.0624
253.8559, 175.4254
253.8559, 175.7884
253.8559, 176.1513
253.8559, 176.5143
253.8559, 176.8773
253.8559, 177.2403
253.8559, 177.6032
255.4627, 177.9657
255.4627, 178.3287
255.4627, 178.6917
255.4627, 179.0547
255.4627, 179.4177
255.4627, 179.7806
255.4627, 180.1436
255.4627, 180.5066
257.0694, 180.8691
257.0694, 181.2321
257.0694, 181.595
257.0694, 181.958
257.0694, 182.321
257.0694, 182.684
257.0694, 183.0469
257.0694, 183.4099
258.6761, 183.7724
258.6761, 184.1354
258.6761, 184.4984
258.6761, 184.8614
258.6761, 185.2243
258.6761, 185.5873
258.6761, 185.9503
258.6761, 186.3133
260.2828, 186.6758
260.2828, 187.0388
260.2828, 187.4017
260.2828, 187.7647
260.2828, 188.1277
260.2828, 188.4907
260.2828, 188.8536
260.2828, 189.2166
261.8895, 189.5791
261.8895, 189.9421
261.8895, 190.3051
261.8895, 190.6681
261.8895, 191.031
261.8895, 191.394
261.8895, 191.757
261.8895, 192.12
263.4961, 192.4825
263.4961, 192.8454
263.4961, 193.2084
263.4961, 193.5714
263.4961, 193.9344
263.4961, 194.2974
263.4961, 194.6602
263.4961, 195.0233
265.1028, 195.3858
265.1028, 195.7488
265.1028, 196.1118
265.1028, 196.4747
265.1028, 196.8377
265.1028, 197.2006
265.1028, 197.5636
265.1028, 197.9266
266.7095, 198.2892
266.7095, 198.6521
266.7095, 199.0151
266.7095, 199.378
266.7095, 199.741
266.7095, 200.104
266.7095, 200.467
266.7095, 200.83
268.3162, 201.1925
268.3162, 201.5554
268.3162, 201.9184
268.3162, 202.2814
268.3162, 202.6444
268.3162, 203.0074
268.3162, 203.3704
268.3162, 203.7332
269.9229, 204.0958
269.9229, 204.4588
269.9229, 204.8218
269.9229, 205.1848
269.9229, 205.5478
269.9229, 205.9106
269.9229, 206.2737
269.9229, 206.6367
271.5295, 206.9992
271.5295, 207.3622
271.5295, 207.725
271.5295, 208.0881
271.5295, 208.4511
271.5295, 208.8141
271.5295, 209.1771
271.5295, 209.54
271.5295, 209.903
271.5295, 210.266
273.1362, 210.6284
273.1362, 210.9915
273.1362, 211.3544
273.1362, 211.7174
273.1362, 212.0804
273.1362, 212.4434
273.1362, 212.8063
273.1362, 213.1693
273.1362, 213.5323
274.7429, 213.8948
274.7429, 214.2578
274.7429, 214.6208
274.7429, 214.9837
274.7429, 215.3467
274.7429, 215.7097
274.7429, 216.0727
276.3496, 216.4352
276.3496, 216.7982
276.3496, 217.1611
276.3496, 217.5241
276.3496, 217.8871
276.3496, 218.2501
276.3496, 218.613
277.9563, 218.9755
277.9563, 219.3385
277.9563, 219.7015
277.9563, 220.0645
277.9563, 220.4275
277.9563, 220.7904
277.9563, 221.1534
279.563, 221.5159
279.563, 221.8789
279.563, 222.2419
279.563, 222.6048
279.563, 222.9678
279.563, 223.3308
279.563, 223.6938
281.1697, 224.0563
281.1697, 224.4193
281.1697, 224.7822
281.1697, 225.1452
281.1697, 225.5082
281.1697, 225.8712
282.7763, 226.2337
282.7763, 226.5967
282.7763, 226.9596
282.7763, 227.3226
282.7763, 227.6856
282.7763, 228.0486
284.383, 228.4111
284.383, 228.774
284.383, 229.137
284.383, 229.5
