   Temperature           BIR            BW1               BW2             BSW
   1.00000000       1.64997687E-08   0.00000000       0.00000000       0.00000000    
   2.00000000       2.84615084E-07   0.00000000       0.00000000       0.00000000    
   3.00000000       1.45509989E-06   0.00000000       0.00000000       0.00000000    
   4.00000000       4.61097216E-06   0.00000000       0.00000000       0.00000000    
   5.00000000       1.12683774E-05   0.00000000       0.00000000       0.00000000    
   6.00000000       2.33766332E-05   0.00000000       0.00000000       0.00000000    
   7.00000000       4.33182358E-05   0.00000000       1.68155816E-44   0.00000000    
   8.00000000       7.39088573E-05   0.00000000       7.56751758E-39   0.00000000    
   9.00000000       1.18397351E-04   0.00000000       1.86733063E-34   0.00000000    
   10.0000000       1.80465751E-04   0.00000000       6.16935264E-31   0.00000000    
   11.0000000       2.64229282E-04   0.00000000       4.71766362E-28   0.00000000    
   12.0000000       3.74236319E-04   0.00000000       1.20291822E-25   0.00000000    
   13.0000000       5.15468477E-04   0.00000000       1.31699871E-23   0.00000000    
   14.0000000       6.93340495E-04   0.00000000       7.41741903E-22   0.00000000    
   15.0000000       9.13700263E-04   0.00000000       2.45366779E-20   0.00000000    
   16.0000000       1.18282891E-03   0.00000000       5.26595431E-19   0.00000000    
   17.0000000       1.50744081E-03   0.00000000       7.91206114E-18   0.00000000    
   18.0000000       1.89468346E-03   0.00000000       8.83024965E-17   0.00000000    
   19.0000000       2.35213735E-03   0.00000000       7.67081349E-16   0.00000000    
   20.0000000       2.88781640E-03   0.00000000       5.38460666E-15   0.00000000    
   21.0000000       3.51016782E-03   0.00000000       3.14831847E-14   0.00000000    
   22.0000000       4.22807131E-03   0.00000000       1.57178903E-13   0.00000000    
   23.0000000       5.05084125E-03   0.00000000       6.83926060E-13   0.00000000    
   24.0000000       5.98822301E-03   0.00000000       2.63845911E-12   0.00000000    
   25.0000000       7.05039687E-03   0.00000000       9.15502309E-12   0.00000000    
   26.0000000       8.24797619E-03   0.00000000       2.89214572E-11   0.00000000    
   27.0000000       9.59200598E-03   0.00000000       8.40495798E-11   0.00000000    
   28.0000000       1.10939657E-02   0.00000000       2.26708111E-10   0.00000000    
   29.0000000       1.27657689E-02   9.80908925E-45   5.71933001E-10   0.00000000    
   30.0000000       1.46197602E-02   4.09179152E-43   1.35849321E-09   0.00000000    
   31.0000000       1.66687183E-02   1.27265927E-41   3.05576719E-09   0.00000000    
   32.0000000       1.89258531E-02   3.19658600E-40   6.54238619E-09   0.00000000    
   33.0000000       2.14048084E-02   6.61074321E-39   1.33918894E-08   0.00000000    
   34.0000000       2.41196621E-02   1.14509245E-37   2.63115716E-08   0.00000000    
   35.0000000       2.70849187E-02   1.68672050E-36   4.97927175E-08   0.00000000    
   36.0000000       3.03155165E-02   2.14147764E-35   9.10429137E-08   0.00000000    
   37.0000000       3.38268243E-02   2.37178209E-34   1.61283424E-07   0.00000000    
   38.0000000       3.76346335E-02   2.31633072E-33   2.77506189E-07   0.00000000    
   39.0000000       4.17551622E-02   2.01412185E-32   4.64794482E-07   0.00000000    
   40.0000000       4.62050550E-02   1.57291782E-31   7.59319505E-07   0.00000000    
   41.0000000       5.10013700E-02   1.11190876E-30   1.21212872E-06   0.00000000    
   42.0000000       5.61615787E-02   7.16569996E-30   1.89384525E-06   0.00000000    
   43.0000000       6.17035665E-02   4.23712562E-29   2.90039247E-06   0.00000000    
   44.0000000       6.76456094E-02   2.31233264E-28   4.35985748E-06   0.00000000    
   45.0000000       7.40063936E-02   1.17088076E-27   6.44059219E-06   0.00000000    
   46.0000000       8.08049589E-02   5.52807992E-27   9.36064589E-06   0.00000000    
   47.0000000       8.80607590E-02   2.44439414E-26   1.33985995E-05   0.00000000    
   48.0000000       9.57935676E-02   1.01643199E-25   1.89058683E-05   0.00000000    
   49.0000000      0.104023524       3.98956665E-25   2.63205056E-05   0.00000000    
   50.0000000      0.112771109       1.48324645E-24   3.61825296E-05   0.00000000    
   51.0000000      0.122057103       5.23990601E-24   4.91507853E-05   0.00000000    
   52.0000000      0.131902575       1.76413785E-23   6.60212900E-05   0.00000000    
   53.0000000      0.142328888       5.67571159E-23   8.77470884E-05   0.00000000    
   54.0000000      0.153357655       1.74936166E-22   1.15459457E-04   0.00000000    
   55.0000000      0.165010720       5.17754378E-22   1.50490494E-04   0.00000000    
   56.0000000      0.177310124       1.47466664E-21   1.94396926E-04   0.00000000    
   57.0000000      0.190278113       4.05009277E-21   2.48985045E-04   0.00000000    
   58.0000000      0.203937083       1.07461271E-20   3.16336693E-04   0.00000000    
   59.0000000      0.218309537       2.75939924E-20   3.98836157E-04   0.00000000    
   60.0000000      0.233418122       6.86849809E-20   4.99197748E-04   0.00000000    
   61.0000000      0.249285534       1.65980239E-19   6.20493956E-04   0.00000000    
   62.0000000      0.265934527       3.89958428E-19   7.66184414E-04   0.00000000    
   63.0000000      0.283387840       8.91924866E-19   9.40144702E-04   0.00000000    
   64.0000000      0.301668257       1.98852358E-18   1.14669581E-03   0.00000000    
   65.0000000      0.320798486       4.32649995E-18   1.39063317E-03   0.00000000    
   66.0000000      0.340801150       9.19657751E-18   1.67725619E-03   0.00000000    
   67.0000000      0.361698806       1.91183674E-17   2.01239693E-03   0.00000000    
   68.0000000      0.383513868       3.89076809E-17   2.40244856E-03   0.00000000    
   69.0000000      0.406268567       7.75854386E-17   2.85439449E-03   0.00000000    
   70.0000000      0.429984987       1.51727040E-16   3.37583432E-03   0.00000000    
   71.0000000      0.454684943       2.91232559E-16   3.97508033E-03   0.00000000    
   72.0000000      0.480390161       5.49095037E-16   4.66093374E-03   0.00000000    
   73.0000000      0.507121980       1.01766297E-15   5.44305658E-03   0.00000000    
   74.0000000      0.534901381       1.85528295E-15   6.33177860E-03   0.00000000    
   75.0000000      0.563749254       3.32928566E-15   7.33817462E-03   0.00000000    
   76.0000000      0.593685925       5.88432476E-15   8.47408269E-03   0.00000000    
   77.0000000      0.624731541       1.02495044E-14   9.75213014E-03   0.00000000    
   78.0000000      0.656905770       1.76040501E-14   1.11857485E-02   0.00000000    
